지금, 만나러 갑니다
10,이제서야 봤네요 너무 좋았습니다
10,아직 까지 제 인생 영화 입니다.
10,감동... 또 감동
10,타케우치 유코, 당신은 떠나고 없지만 비의 계절이 돌아올때마다 당신을 추억하고 그리워할 것 입니다. 삼가 고인의 명복을 빕니다.
10,저는 이 영화를 지금까지 10번 이상은 본 것 같습니다.. 그 정도로 정말 너무너무 좋아하는 영화입니다..아름다운 영상미와 음악..빗소리..그리고 다케우치 유코의 싱그러운 미소가 여운에 남는 영화입니다. 이 영화를 보고 유코의 팬이 되었었는데 .. 이젠 저 미소를 볼 수 없다니 너무 안타깝습니다.. 영화처럼 아카이브 별로 가선 꼭 행복하길 기도합니다..
10,이 영화를 보고 너무 재미 있어서, 원작도서까지 구입햇습니다. 영화는 영화대로, 도서는 도서대로의 극강 재미가 있었습니다. 여지까지 본 일본영화 중 최고라고 생각합니다.
9,
10,여러분 여주를 맡은 다케우치 유코분이 돌아가셨다고 합니다...일본 명작을 뽑으라면 꼭 거론되는 영화 여주를 맡은 분이시죠...사실 소문만 들었지 영화는 보지는 않았는데 이 배우가 어떤 배우인지 궁금해서 오늘 봅니다...삼가고인의 명복을 빕니다...
10,보는 내내 눈물이 나는 영화였습니다.
9,다케우치 유코 그 곳에선 편안하시길...
10,최고입니다여주 최고고인의명복을빕니다
7,10여년전 런치의여왕으로 알게된 타케우치유코 사망소식을 듣고. 그 유명하다는 지만갑을 봤다. 생각만큼 감동적이지는 않았다... 아들분 배우가 귀여웠다. 분위기는 역시 일본영화 분위기라 좋다 RIP
10,말이 필요없는 최고의 영화
10,
10,비의 계절에 꼭 다시 돌아와 주세요ㅠㅠ 당신덕분에 마음이 따뜻하고 행복했습니다 아카이브별에선 평온하고 행복하길 기도하겠습니다
10,고평점의 일본 영화들의 특징은 후반부의 힘. 후반부에 돌입했을 때까지도 고만고만한 죽은 영혼의 환생과 만남 정도라 왜 이 영화가 이토록 높은 평가를 받는지 이해가지 않았다. 그런데 30-40분 남겨놓고 들려주는 죽음 전의 이야기에 모든 힘이 집중돼 있다. 여배우는 외모도 연기도 아름답다. 왜 하늘은 멋지고 순수한 사람들은 더 먼저데려가는지.. 그녀의 명복을 빈다..
10,죽기전에 꼭봐야할 영화입니다
2,다좋은데 남주 인상이 드러움 관상자체가 양아치임 걍
10,진짜 모든게 완벽했던 영화
10,
10,
10,난 이 영화가 아직까지 내 인생영화임남을 타이타닉 레옹 이럴때.. 난 이거임..
